language,setCode,translation
Chinese Traditional,DOM,
French,DOM,Dominaria
German,DOM,Dominaria
Italian,DOM,Dominaria
Japanese,DOM,
Korean,DOM,
Portuguese (Brazil),DOM,
Russian,DOM,
Spanish,DOM,Dominaria
Chinese Simplified,DRK,
Chinese Traditional,DRK,
French,DRK,The Dark
German,DRK,The Dark
Italian,DRK,The Dark
Japanese,DRK,
Korean,DRK,
Portuguese (Brazil),DRK,
Russian,DRK,
Spanish,DRK,The Dark
Chinese Simplified,DST,
Chinese Traditional,DST,
French,DST,Sombracier
German,DST,Nachtstahl
Italian,DST,Darksteel
Japanese,DST,
Korean,DST,
Portuguese (Brazil),DST,
Russian,DST,
Spanish,DST,Darksteel
Chinese Simplified,DTK,
Chinese Traditional,DTK,
French,DTK,Les Dragons de Tarkir
German,DTK,Drachen von Tarkir
Italian,DTK,Draghi di Tarkir
Japanese,DTK,
Korean,DTK,
Portuguese (Brazil),DTK,
Russian,DTK,
Spanish,DTK,Dragones de Tarkir
Chinese Simplified,ELD,
Chinese Traditional,ELD,
French,ELD,Throne of Eldraine
German,ELD,Throne of Eldraine
Italian,ELD,Throne of Eldraine
Japanese,ELD,
Korean,ELD,
Portuguese (Brazil),ELD,
Russian,ELD,
Spanish,ELD,Throne of Eldraine
Chinese Simplified,EMA,
Chinese Traditional,EMA,
French,EMA,Eternal Masters
German,EMA,Eternal Masters
Italian,EMA,Eternal Masters
Japanese,EMA,
Korean,EMA,
Portuguese (Brazil),EMA,
Russian,EMA,
Spanish,EMA,Eternal Masters
Chinese Simplified,EMN,
Chinese Traditional,EMN,
French,EMN,La lune hermétique
German,EMN,Düstermond
Italian,EMN,Luna Spettrale
Japanese,EMN,
Korean,EMN,
Portuguese (Brazil),EMN,
Russian,EMN,
Spanish,EMN,Luna de horrores
Chinese Simplified,EVE,
Chinese Traditional,EVE,
French,EVE,Coucheciel
German,EVE,Abendkühle
Italian,EVE,Vespro
Japanese,EVE,
Korean,EVE,
Portuguese (Brazil),EVE,
Russian,EVE,
Spanish,EVE,Crepúsculo
Chinese Simplified,EXO,
Chinese Traditional,EXO,
French,EXO,Exode
German,EXO,Exodus
Italian,EXO,Esodo
Japanese,EXO,
Korean,EXO,
Portuguese (Brazil),EXO,
Russian,EXO,
Spanish,EXO,Éxodo
Chinese Simplified,FEM,
Chinese Traditional,FEM,
French,FEM,Fallen Empires
German,FEM,Fallen Empires
Italian,FEM,Fallen Empires
Japanese,FEM,
Korean,FEM,
Portuguese (Brazil),FEM,
Russian,FEM,
Spanish,FEM,Fallen Empires
Chinese Simplified,FRF,
Chinese Traditional,FRF,
French,FRF,Destin reforgé
German,FRF,Fate Reforged
Italian,FRF,Fate Reforged
Japanese,FRF,
Korean,FRF,
Portuguese (Brazil),FRF,
Russian,FRF,
Spanish,FRF,Fate Reforged
Chinese Simplified,FUT,
Chinese Traditional,FUT,
French,FUT,Vision de l'Avenir
German,FUT,Blick in die Zukunft
Italian,FUT,Visione Futura
Japanese,FUT,
Korean,FUT,
Portuguese (Brazil),FUT,
Russian,FUT,
Spanish,FUT,Visión del Futuro
Chinese Simplified,GPT,
Chinese Traditional,GPT,
French,GPT,Le Pacte des Guildes
German,GPT,Gildenbund
Italian,GPT,Il Patto delle Gilde
Japanese,GPT,
Korean,GPT,
Portuguese (Brazil),GPT,
Russian,GPT,
Spanish,GPT,El Pacto entre Gremios
